SKU,kind,colour,model,season,alt_thumbnail
MQDQ3,Smart Folio,White,iPad 10,Autumn 2022,
MQDR3,Smart Folio,Lemonade,iPad 10,Autumn 2022,
MQDT3,Smart Folio,Watermelon,iPad 10,Autumn 2022,
MQDU3,Smart Folio,Sky,iPad 10,Autumn 2022,
MQDP3,Magic Keyboard Folio,White,iPad 10,Autumn 2022,
MM6G3,Smart Folio,Black,iPad mini 6,Autumn 2021,
MM6H3,Smart Folio,White,iPad mini 6,Autumn 2021,
MM6J3,Smart Folio,Electric Orange,iPad mini 6,Autumn 2021,
MM6K3,Smart Folio,Dark Cherry,iPad mini 6,Autumn 2021,
MM6L3,Smart Folio,English Lavender,iPad mini 6,Autumn 2021,
MQDV3,Smart Folio,Marine Blue,iPad Pro 11 M1,Autumn 2021,
MQDW3,Smart Folio,Marine Blue,iPad Pro 12.9 M1,Autumn 2021,
MM6N3,Smart Folio,English Lavender,iPad Pro 11 M1,Autumn 2021,
MM6P3,Smart Folio,English Lavender,iPad Pro 12.9 M1,Autumn 2021,
MJM93,Smart Folio,Black,iPad Pro 11 M1,Spring 2021,
MJMG3,Smart Folio,Black,iPad Pro 12.9 M1,Spring 2021,
MJMA3,Smart Folio,White,iPad Pro 11 M1,Spring 2021,
MJMH3,Smart Folio,White,iPad Pro 12.9 M1,Spring 2021,
MJMC3,Smart Folio,Deep Navy,iPad Pro 11 M1,Spring 2021,
MJMJ3,Smart Folio,Deep Navy,iPad Pro 12.9 M1,Spring 2021,
MJMD3,Smart Folio,Mallard Green,iPad Pro 11 M1,Spring 2021,
MJMK3,Smart Folio,Mallard Green,iPad Pro 12.9 M1,Spring 2021,
MJMF3,Smart Folio,Electric Orange,iPad Pro 11 M1,Spring 2021,
MJML3,Smart Folio,Electric Orange,iPad Pro 12.9 M1,Spring 2021,
MGYX3,Smart Folio,Deep Navy,iPad Pro 11 M1,Autumn 2020,
MH023,Smart Folio,Deep Navy,iPad Pro 12.9 M1,Autumn 2020,
MGYY3,Smart Folio,Cyprus Green,iPad Pro 11 M1,Autumn 2020,
MH043,Smart Folio,Cyprus Green,iPad Pro 12.9 M1,Autumn 2020,
MH003,Smart Folio,Pink Citrus,iPad Pro 11 M1,Autumn 2020,
MH063,Smart Folio,Pink Citrus,iPad Pro 12.9 M1,Autumn 2020,
MXT32,Smart Folio,White,iPad Pro 11 M1,Spring 2020,
MXT82,Smart Folio,White,iPad Pro 12.9 M1,Spring 2020,
MXT42,Smart Folio,Black,iPad Pro 11 M1,Spring 2020,
MXT92,Smart Folio,Black,iPad Pro 12.9 M1,Spring 2020,
MXT52,Smart Folio,Pink Sand,iPad Pro 11 M1,Spring 2020,
MXTA2,Smart Folio,Pink Sand,iPad Pro 12.9 M1,Spring 2020,
MXT62,Smart Folio,Surf Blue,iPad Pro 11 M1,Spring 2020,
MXTD2,Smart Folio,Surf Blue,iPad Pro 12.9 M1,Spring 2020,
MXT72,Smart Folio,Cactus,iPad Pro 11 M1,Spring 2020,
MXTE2,Smart Folio,Cactus,iPad Pro 12.9 M1,Spring 2020,
MJQL3,Magic Keyboard,White,iPad Pro 12.9 M1,Spring 2021,
MXQU2,Magic Keyboard,Black,iPad Pro 12.9 M1,Spring 2020,
MJQK3,Magic Keyboard,Black - M1/M2,iPad Pro 12.9 M1,Spring 2021,
MJQJ3,Magic Keyboard,White,iPad 11 M1,Spring 2021,
MXQT2,Magic Keyboard,Black,iPad 11 M1,Spring 2020,
MXNK2,Smart Keyboard Folio,Black,iPad 11 M1,Spring 2020,
MXNL2,Smart Keyboard Folio,Black,iPad Pro 12.9 M1,Spring 2020,
MNA43,Smart Folio,Dark Cherry,iPad Air 11-inch,Spring 2022,
MNA63,Smart Folio,English Lavender,iPad Air 11-inch,Spring 2022,
MNA73,Smart Folio,Marine Blue,iPad Air 11-inch,Spring 2022,
MJM23,Smart Folio,Electric Orange,iPad Air 11-inch,Spring 2021,
MJM53,Smart Folio,Mallard Green,iPad Air 11-inch,Spring 2021,
MH0D3,Smart Folio,Black,iPad Air 11-inch,Autumn 2020,
MH083,Smart Folio,Cyprus Green,iPad Air 11-inch,Autumn 2020,
MH073,Smart Folio,Deep Navy,iPad Air 11-inch,Autumn 2020,
MH093,Smart Folio,Pink Citrus,iPad Air 11-inch,Autumn 2020,
MH0A3,Smart Folio,White,iPad Air 11-inch,Autumn 2020,
MX4X2,Smart Folio,Alaskan Blue,iPad Pro 11 A12X,Autumn 2019,
MRX72,Smart Folio,Charcoal Gray,iPad Pro 11 A12X,Autumn 2018,
MRXD2,Smart Folio,Charcoal Gray,iPad Pro 12.9 A12X,Autumn 2018,
MRX92,Smart Folio,Pink Sand,iPad Pro 11 A12X,Autumn 2018,
MVQN2,Smart Folio,Pink Sand,iPad Pro 12.9 A12X,Autumn 2018,
MRX82,Smart Folio,White,iPad Pro 11 A12X,Autumn 2018,
MRXE2,Smart Folio,White,iPad Pro 12.9 A12X,Autumn 2018,
MU8G2,Keyboard Folio,Black,iPad Pro 11 A12X,Autumn 2018,
MU8H2,Keyboard Folio,Black,iPad Pro 12.9 A12X,Autumn 2018,
